sep=,
DisplayName,Caliber,HandSlot,MagazineSize,Damage,AvailableComponents,1,2,3,4,5,6,7,8,9,ComponentSlots____,Cost,ReloadAP,AvailableAttacks____,ShootAP,Comment,RepairCost,PenetrationClass,Entity,OverwatchAngle,ScrapParts,WeaponRange,RestockWeight,group,id,Icon,object_class,Reliability,DisplayNamePlural,LargeItem,DisplayName____,mod,ObjDamageMod,CategoryPair,UnitStat,CanAppearStandard,HolsterSlot,Noise,CritChanceScaled,PointBlankBonus,DisplayNamePlural____,AimAccuracy,CanAppearInShop,AdditionalHint____,Description____,MaxStock,Tier,AdditionalHint,Description,Valuable,10,11,12,13,Condition,fxClass,ItemType,comment,Color,14,15,Cumbersome,colorStyle,rat_barrel_len,placeholder_recoil,SubIcon,burst_recoil_delta,auto_recoil_delta,recoil_mechanism,Rat_cycling,is_vanilla_firearm,PBbonus_base,weigth_held_mul,wep_base_snapshot_mul,wep_base_hip_mul,long_recoil_delta,rat_weigth,wep_base_recoil_mul,APStance,Rat_swap_ap,CritChance,msg_reactions____,MaxMishapChance,MinMishapChance,PreparedAttackType,locked,BackfireDamage,BackfireRange,AttackAP,BombardRadius,CanAppearUsed,ModifyRightHandGrip,BuckshotConeAngle,BuckshotFalloffStart,BuckshotFalloffDamage,IgnoreCoverReduction
Debug Gun,762WP,TwoHanded,30,10,"{BarrelHeavy, BarrelLong, BarrelLongImproved, BarrelNormal, BarrelNormalImproved, BarrelShort}","{CanBeEmpty = true, SlotType = Bipod}","{CanBeEmpty = true, SlotType = Grenadelauncher}","{DefaultComponent = StockNormal, SlotType = Stock}","{DefaultComponent = MagNormal, SlotType = Magazine}","{DefaultComponent = AK47_Handguard_basic, SlotType = Handguard}","{CanBeEmpty = true, SlotType = Scope}","{CanBeEmpty = true, SlotType = Muzzle}","{CanBeEmpty = true, SlotType = Side}",{SlotType = Barrel},{},800,3000,"{BurstFire, SingleShot, AutoFire}",6000,for component testing,20,2,Weapon_AK47,1440,10,24,0,Debug,DebugAuto,UI/Icons/Weapons/AK47,AssaultRifle,95,Debug Guns,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9mm,,15,9,,,,,,,,,,,,500,,"{SingleShot, DualShot, CancelShot, MobileShot}",,,70,,,2160,6,200,,,weapon_shrapnel,,Pistol,50,,,"{214207252979, shrap}",RATONADE,50,Handguns,Marksmanship,,Leg,10,0,1,"{163052994957, shrap}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,556,TwoHanded,30,17,"{A91_762_mag_def_1, A91_762_mag_ext_1}","{CanBeEmpty = true, SlotType = Under}","{CanBeEmpty = true, SlotType = Bipod}","{CanBeEmpty = true, SlotType = Side}","{DefaultComponent = A91_762_barrel_def_1, SlotType = Barrel}","{DefaultComponent = DefaultIronsight_AR15, SlotType = Scope}","{DefaultComponent = ToG_VFX_Muzzle, SlotType = Muzzle}","{DefaultComponent = A91_762_mag_def_1, SlotType = Magazine}",,,{},2500,4000,"{BurstFire, AutoFire, SingleShot, CancelShot}",5000,,,2,A91_556,1440,10,24,40,Firearm - Assault,A91_2,Mod/KKh3Yhf/Images/A91_icon.png,AssaultRifle,90,,1,"{622267183134, A91}",KKh3Yhf,,AssaultRifles,Marksmanship,,Shoulder,10,20,,"{159806226616, A91s}",5,true,"{901755962221, <image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Low damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased bonus from Aiming
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Low attack costs
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased Reload cost
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Less noisy}","{490489023596, <style PerkststsBold ><scale 900>The A-91 is a bullpup assault rifle developed during the 1990s as an offspring of the 9A-91 firearm family.<newline><newline>The A-91 has a forward ejection system, initially developed in Tula by designers like Afanasiev during the early 1960s. In this system, the ejection port is located right above the pistol grip, and is directed forward. Extracted cases go from bolt head through the short ejection tube to the ejection port, and fall out of the gun well clear of the shooter's face, even when firing from the left shoulder.<newline><newline> As for now, the A-91 is made in small numbers and, probably, is used by some elite police units in Russia<newline><newline><style MMOptionEntry>Made in Russia <image UI/Icons/Flags/f_russia.dds 1600>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,762WP,TwoHanded,30,30,"{A91_762_mag_def_1, A91_762_mag_ext_1}","{CanBeEmpty = true, SlotType = Under}","{CanBeEmpty = true, SlotType = Bipod}","{CanBeEmpty = true, SlotType = Side}","{DefaultComponent = A91_762_barrel_def_1, SlotType = Barrel}","{DefaultComponent = DefaultIronsight_AR15, SlotType = Scope}","{DefaultComponent = ToG_VFX_Muzzle, SlotType = Muzzle}","{DefaultComponent = A91_762_mag_def_1, SlotType = Magazine}",,,{},4599,4000,"{BurstFire, AutoFire, SingleShot, CancelShot}",5000,,,3,A91_762,1440,10,28,35,Firearm - Assault,A91_3,Mod/KKh3Yhf/Images/A91_icon.png,AssaultRifle,90,,1,"{831497032528, A91}",KKh3Yhf,,AssaultRifles,Marksmanship,,Shoulder,10,15,,"{652838191691, A91s}",5,true,"{577110407038, <image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> High damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased bonus from Aiming
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Low attack costs
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased Penetration}","{854195398076, <style PerkststsBold ><scale 900>The A-91 is a bullpup assault rifle developed during the 1990s as an offspring of the 9A-91 firearm family.<newline><newline>The A-91 has a forward ejection system, initially developed in Tula by designers like Afanasiev during the early 1960s. In this system, the ejection port is located right above the pistol grip, and is directed forward. Extracted cases go from bolt head through the short ejection tube to the ejection port, and fall out of the gun well clear of the shooter's face, even when firing from the left shoulder.<newline><newline> As for now, the A-91 is made in small numbers and, probably, is used by some elite police units in Russia<newline><newline><style MMOptionEntry>Made in Russia <image UI/Icons/Flags/f_russia.dds 1600>}",2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK-47,762WP,TwoHanded,30,20,"{Flashlight, FlashlightDot, LaserDot}","{CanBeEmpty = true, SlotType = Bipod}","{CanBeEmpty = true, SlotType = Grenadelauncher}","{DefaultComponent = StockNormal, SlotType = Stock}","{DefaultComponent = MagNormal, SlotType = Magazine}","{DefaultComponent = AK47_Handguard_basic, SlotType = Handguard}","{CanBeEmpty = true, SlotType = Scope}","{CanBeEmpty = true, SlotType = Muzzle}","{CanBeEmpty = true, SlotType = Side}",,{},1500,3000,"{BurstFire, AutoFire, SingleShot, CancelShot}",6000,tier 1 heavy,20,2,Weapon_AK47,1440,10,24,150,Firearm - Assault,AK47,UI/Icons/Weapons/AK47,AssaultRifle,95,AK-47s,1,,,,AssaultRifles,Marksmanship,,Shoulder,,,,,,true,,,5,,<bullet_point> Slower Condition loss,"You should not be surprised to find an AK-47 anywhere there is conflict around the world. Simple to use, reliable and dirt cheap. Over 75 million are in circulation worldwide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK-74,762WP,TwoHanded,30,30,"{Flashlight, FlashlightDot, LaserDot}","{DefaultComponent = StockHeavy, SlotType = Stock}","{DefaultComponent = MagNormalFine, SlotType = Magazine}","{CanBeEmpty = true, SlotType = Scope}","{CanBeEmpty = true, SlotType = Muzzle}","{CanBeEmpty = true, SlotType = Under}","{CanBeEmpty = true, SlotType = Side}",,,,{},8400,3000,"{BurstFire, AutoFire, SingleShot, CancelShot}",6000,tier 5 heavy,20,3,Weapon_AK74,1440,10,24,40,Firearm - Assault,AK74,UI/Icons/Weapons/AK74,AssaultRifle,95,AK-74s,1,,,,AssaultRifles,Marksmanship,,Shoulder,,,,,,true,,,,3,"<bullet_point> High damage
<bullet_point> Improved armor penetration
<bullet_point> Slower Condition loss",The Soviets revisited their emblematic design around 1974 and this beauty was born. It has sprouted many variations but keeps the long stroke gas piston system of the original design.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,762WP,TwoHanded,30,31,"{AN94_Barrel_short_1, AN94_Barrel_def_1, AN94_Barrel_ext_1}","{DefaultComponent = AN94_Stock_def_1, SlotType = Stock}","{DefaultComponent = AN94_Mag_def_1, SlotType = Magazine}","{CanBeEmpty = true, SlotType = Scope}","{DefaultComponent = ToG_VFX_Muzzle, SlotType = Muzzle}","{CanBeEmpty = true, SlotType = Bipod}","{DefaultComponent = AN94_Barrel_def_1, SlotType = Barrel}",,,,{},4699,3000,"{BurstFire, AutoFire, SingleShot, CancelShot}",6000,,20,3,AN94,1440,10,25,50,Firearm - Assault,AN94_1,Mod/KKh3Yhf/Images/AN94_icon.png,AssaultRifle,95,,1,"{375877567182, AN-94}",KKh3Yhf,,AssaultRifles,Marksmanship,,Shoulder,,14,,"{302601108824, AN-94s}",,true,"{156152996176, <image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> High damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Improved armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Slower Condition loss}","{810642486975, <style PerkststsBold ><scale 900>The AN-94 is a Russian assault rifle designed as a potential replacement to the AK-74<newline><newline>It offers a unique two-shot burst function at a stated 1800 rounds per minute, increasing hit probability under the most adverse combat conditions.<newline><newline> Due to its complex design and expense, it failed to fill its intended role as a replacement for the AK-74, but it is in limited use as a special purpose weapon.<newline><newline><style MMOptionEntry>Made in Russia <image UI/Icons/Flags/f_russia.dds 1600>}",2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,762NATO,TwoHanded,20,33,"{Silentium_Hush, Silentium_Hush_1, Silentium_Whisper, Silentium_Whisper_1, NoiseX_Muffler, NoiseX_MufflerPro, NoiseX_SoundGuard, NoiseX_SoundGuardPro, NoiseX_Mirage, NoiseX_MiragePro}","{DefaultComponent = AR10_barrel_def, SlotType = Barrel}","{DefaultComponent = ToG_Rail_Block, SlotType = Scope}",{SlotType = Rail_Mount},"{DefaultComponent = AR10_muzzle_def, SlotType = Muzzle}","{CanBeEmpty = true, SlotType = Bipod}","{DefaultComponent = AR10_mag_def, SlotType = Magazine}","{DefaultComponent = AR10_stock_def, SlotType = Stock}","{CanBeEmpty = true, SlotType = Side2}","{CanBeEmpty = true, SlotType = Side3}",{},5699,3000,"{BurstFire, AutoFire, SingleShot, CancelShot}",6000,,,2,AR10ba,1440,10,28,15,Firearm - Assault,AR10_bakelite,Mod/KKh3Yhf/Images/AR10bakelite_icon.png,AssaultRifle,80,,1,"{400136485589, AR10}",KKh3Yhf,,AssaultRifles,Marksmanship,,Shoulder,,,,"{891331575928, AR10s}",6,true,"{312895017407, <image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased bonus from Aiming
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Low attack costs}","{533324598624, <style PerkststsBold ><scale 700>The AR-10 is a 7.62×51mm NATO battle rifle designed by Eugene Stoner in the late 1950s<newline><newline>When first introduced in 1956, the AR-10 used an innovative combination forged alloy parts resulting in a small arm significantly easier to control in automatic fire and over 0.45 kg lighter than other infantry rifles of the day.<newline><newline>During 1960 U.S. Army tests and in Portuguese service, the AR-10 was praised for its accuracy, hitting 25 mm groups at 100 meters with standard ammo. Despite limited production, countries like Guatemala, Burma, Italy, Cuba, Sudan, and Portugal issued it to their troops. The AR-10 remained in service with Sudanese Special Forces until 1985 and was used in various African conflicts, sometimes captured and repurposed.<newline><newline>In Chad, the AR-10 was much appreciated by members of the French Foreign Legion. As one police instructor in the Congo stated, ""It was a good combat weapon that never failed me; a bit too long (but not as bad as the FAL or M14) for house-to-house work or really heavy brush, but great for 400-800 meters, in the flats - and really nice on the body, after wandering around 12-14 hours looking for bad guys.""<newline><newline>Over its production life, the original AR-10 was built in relatively small numbers, with fewer than 10,000 rifles assembled.However, the AR-10 would become the progenitor for a wide range of firearms.<newline><style MMOptionEntry>Made in Sudan <image Mod/HXzCpFa/Icons/Flags/Sudan(the).png 1600>}",,2,,,,"{DefaultComponent = AR10_sideblock, SlotType = Mountside}","{CanBeEmpty = true, SlotType = Mountfront}","{CanBeEmpty = true, SlotType = ToC_Aftermarket_Muzzles}","{CanBeEmpty = true, SlotType = ToC_Aftermarket_Silencers}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,762NATO,TwoHanded,20,33,"{Silentium_Hush, Silentium_Hush_1, Silentium_Whisper, Silentium_Whisper_1, NoiseX_Muffler, NoiseX_MufflerPro, NoiseX_SoundGuard, NoiseX_SoundGuardPro, NoiseX_Mirage, NoiseX_MiragePro}","{DefaultComponent = AR10_barrel_def, SlotType = Barrel}","{DefaultComponent = ToG_Rail_Block, SlotType = Scope}",{SlotType = Rail_Mount},"{DefaultComponent = AR10_muzzle_def, SlotType = Muzzle}","{CanBeEmpty = true, SlotType = Bipod}","{DefaultComponent = AR10_mag_def, SlotType = Magazine}","{DefaultComponent = AR10_stock_def, SlotType = Stock}","{CanBeEmpty = true, SlotType = Side2}","{CanBeEmpty = true, SlotType = Side3}",{},5699,3000,"{BurstFire, AutoFire, SingleShot, CancelShot}",6000,,,2,AR10bl,1440,10,28,10,Firearm - Assault,AR10_black,Mod/KKh3Yhf/Images/AR10black_icon.png,AssaultRifle,80,,1,"{351501294687, AR10}",KKh3Yhf,,AssaultRifles,Marksmanship,,Shoulder,,,,"{736955076565, AR10s}",6,true,"{935015991945, <image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased bonus from Aiming
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Low attack costs}","{570578201714, <style PerkststsBold ><scale 700>The AR-10 is a 7.62×51mm NATO battle rifle designed by Eugene Stoner in the late 1950s<newline><newline>When first introduced in 1956, the AR-10 used an innovative combination forged alloy parts resulting in a small arm significantly easier to control in automatic fire and over 0.45 kg lighter than other infantry rifles of the day.<newline><newline>During 1960 U.S. Army tests and in Portuguese service, the AR-10 was praised for its accuracy, hitting 25 mm groups at 100 meters with standard ammo. Despite limited production, countries like Guatemala, Burma, Italy, Cuba, Sudan, and Portugal issued it to their troops. The AR-10 remained in service with Sudanese Special Forces until 1985 and was used in various African conflicts, sometimes captured and repurposed.<newline><newline>In Chad, the AR-10 was much appreciated by members of the French Foreign Legion. As one police instructor in the Congo stated, ""It was a good combat weapon that never failed me; a bit too long (but not as bad as the FAL or M14) for house-to-house work or really heavy brush, but great for 400-800 meters, in the flats - and really nice on the body, after wandering around 12-14 hours looking for bad guys.""<newline><newline>Over its production life, the original AR-10 was built in relatively small numbers, with fewer than 10,000 rifles assembled.However, the AR-10 would become the progenitor for a wide range of firearms.<newline><style MMOptionEntry>Made in USA <image UI/Icons/Flags/f_usa.dds 1600>}",,3,,,,"{DefaultComponent = AR10_sideblock, SlotType = Mountside}","{CanBeEmpty = true, SlotType = Mountfront}","{CanBeEmpty = true, SlotType = ToC_Aftermarket_Muzzles}","{CanBeEmpty = true, SlotType = ToC_Aftermarket_Silencers}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,762NATO,TwoHanded,20,32,"{Silentium_Hush, Silentium_Hush_1, Silentium_Whisper, Silentium_Whisper_1, NoiseX_Muffler, NoiseX_MufflerPro, NoiseX_SoundGuard, NoiseX_SoundGuardPro, NoiseX_Mirage, NoiseX_MiragePro}","{DefaultComponent = AR10_barrel_def, SlotType = Barrel}","{DefaultComponent = ToG_Rail_Block, SlotType = Scope}",{SlotType = Rail_Mount},"{DefaultComponent = AR10_muzzle_def, SlotType = Muzzle}","{CanBeEmpty = true, SlotType = Bipod}","{DefaultComponent = AR10_mag_def, SlotType = Magazine}","{DefaultComponent = AR10_stock_def, SlotType = Stock}","{CanBeEmpty = true, SlotType = Side2}","{CanBeEmpty = true, SlotType = Side3}",{},5699,3000,"{BurstFire, AutoFire, SingleShot, CancelShot}",6000,,85,2,AR10w,1440,10,27,25,Firearm - Assault,AR10_worn,Mod/KKh3Yhf/Images/AR10worn_icon.png,AssaultRifle,75,,1,"{975853826480, AR10}",KKh3Yhf,,AssaultRifles,Marksmanship,,Shoulder,,,,"{398212789585, AR10s}",5,,"{241246988013, <image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased bonus from Aiming
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Low attack costs}","{140480878629, <style PerkststsBold ><scale 700>The AR-10 is a 7.62×51mm NATO battle rifle designed by Eugene Stoner in the late 1950s<newline><newline>When first introduced in 1956, the AR-10 used an innovative combination forged alloy parts resulting in a small arm significantly easier to control in automatic fire and over 0.45 kg lighter than other infantry rifles of the day.<newline><newline>During 1960 U.S. Army tests and in Portuguese service, the AR-10 was praised for its accuracy, hitting 25 mm groups at 100 meters with standard ammo. Despite limited production, countries like Guatemala, Burma, Italy, Cuba, Sudan, and Portugal issued it to their troops. The AR-10 remained in service with Sudanese Special Forces until 1985 and was used in various African conflicts, sometimes captured and repurposed.<newline><newline>In Chad, the AR-10 was much appreciated by members of the French Foreign Legion. As one police instructor in the Congo stated, ""It was a good combat weapon that never failed me; a bit too long (but not as bad as the FAL or M14) for house-to-house work or really heavy brush, but great for 400-800 meters, in the flats - and really nice on the body, after wandering around 12-14 hours looking for bad guys.""<newline><newline>Over its production life, the original AR-10 was built in relatively small numbers, with fewer than 10,000 rifles assembled.However, the AR-10 would become the progenitor for a wide range of firearms.<newline><style MMOptionEntry>Made in USA <image UI/Icons/Flags/f_usa.dds 1600>}",,2,,,,"{DefaultComponent = AR10_sideblock, SlotType = Mountside}","{CanBeEmpty = true, SlotType = Mountfront}","{CanBeEmpty = true, SlotType = ToC_Aftermarket_Muzzles}","{CanBeEmpty = true, SlotType = ToC_Aftermarket_Silencers}",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
