sep=,
Wisdom,Randomization,role,object_class,Medical,MaxHitPoints,Marksmanship,Affiliation,id,Portrait,Leadership,CustomEquipGear,Health,Tier,VoiceResponseId,Dexterity,gender,pollyvoice,Mechanical,StartingLevel,neutral_retaliate,Agility,MaxAttacks,Explosives,unitPowerModifier,group,Strength,elite,Comment,eliteCategory,PickCustomArchetype,archetype,AlwaysUseOpeningAttack,BigPortrait,OpeningAttackType,PinnedDownChance,immortal,FallbackMissingVR,CanManEmplacements,body_type,species,RewardExperience,militia,PersistentSessionId,RepositionArchetype,dummy,reincarnate,SalaryMaxLv,HireStatus,Specialization,IsMercenary,SalaryLv1,infected,SalaryIncrease,StartingSalary,Nationality,MedicalDeposit,DurationDiscount,Haggling,LegacyNotes,ImportantNPC,RetreatBehavior,villain,DefeatBehavior,Lives,HealPersistentOnSpawn
56,true,Soldier,UnitData,0,50,70,Adonis,AdonisAssault,UI/EnemiesPortraits/AdonisSoldier,50,function: 000002997150B8B0,75,Elite,AdonisAssault,75,Male,Joey,0,6,true,75,2,0,75,Adonis,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,true,Soldier,UnitData,52,50,70,Adonis,AdonisAssault_Elite,UI/EnemiesPortraits/AdonisSoldier,50,function: 000002997150C2C8,75,Elite,AdonisAssault,75,Male,Joey,50,6,true,75,2,39,,Adonis,85,true,+perks,Foreigners,function: 000002997150C2A0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,true,Heavy,UnitData,52,50,90,Adonis,AdonisDedicatedGunner_Elite,UI/EnemiesPortraits/AdonisHeavy,50,,75,Elite,AdonisAssault,75,Male,Joey,50,6,true,85,4,39,,Adonis,95,true,+perks,Foreigners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,true,Artillery,UnitData,0,50,50,Adonis,AdonisDemolitions,UI/EnemiesPortraits/AdonisDemo,31,function: 0000029966557340,63,Veteran,AdonisAssault,,Male,Russell,0,6,true,72,2,50,75,Adonis,81,,,,function: 000002996B5011B8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,true,Artillery,UnitData,34,50,50,Adonis,AdonisDemolitions_Elite,UI/EnemiesPortraits/AdonisDemo,31,function: 000002996B502770,,Veteran,AdonisAssault,,Male,Russell,50,6,true,72,2,80,,Adonis,90,true,"+EXPL, +STR",Foreigners,function: 000002996B502C70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,true,Recon,UnitData,0,50,70,Adonis,AdonisFlanker,UI/EnemiesPortraits/AdonisRecon,20,,70,Veteran,AdonisAssault,83,Male,Joey,0,3,true,81,2,0,75,Adonis,47,,,,,Skirmisher,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,true,Recon,UnitData,55,50,70,Adonis,AdonisFlanker_Elite,UI/EnemiesPortraits/AdonisRecon,20,,70,Veteran,AdonisAssault,83,Male,Joey,56,3,true,99,2,38,,Adonis,47,true,"+AP, +perks",Foreigners,,Skirmisher,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,true,Heavy,UnitData,0,50,70,Adonis,AdonisHeavy,UI/EnemiesPortraits/AdonisHeavy,50,,70,Elite,AdonisAssault,75,Male,Joey,0,6,true,67,2,0,75,Adonis,95,,,,,HeavyGunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,true,Medic,UnitData,93,80,66,Adonis,AdonisMedic,UI/EnemiesPortraits/AdonisMedic,58,,65,Elite,AdonisAssault,58,Male,Joey,41,7,true,91,1,39,65,Adonis,53,,,,,Medic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,true,Artillery,UnitData,0,50,50,Adonis,AdonisMortar,UI/EnemiesPortraits/AdonisArtillery,31,function: 0000029967DBB050,50,Veteran,AdonisAssault,,Male,Russell,0,6,true,67,1,76,75,Adonis,99,,,,function: 0000029967DBA630,Artillery,,UI/Enemies/LegionRaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,true,Marksman,UnitData,25,50,80,Adonis,AdonisSniper,UI/EnemiesPortraits/AdonisSniper,20,function: 0000029967DBCC00,71,Veteran,AdonisAssault,75,Male,Joey,0,5,true,90,1,0,75,Adonis,85,,,,function: 0000029967DBCAC0,,true,,PinDown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,true,Marksman,UnitData,53,50,80,Adonis,AdonisSniper_Elite,UI/EnemiesPortraits/AdonisSniper,20,,71,Veteran,AdonisAssault,100,Male,Joey,50,5,true,90,1,42,,Adonis,85,true,"+AIM, +perks",Foreigners,function: 0000029967EB7818,,true,,PinDown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,true,Marksman,UnitData,53,50,80,Adonis,AdonisSniper_Elite_copy,UI/EnemiesPortraits/AdonisSniper,20,,71,Veteran,AdonisAssault,100,Male,Joey,50,5,true,90,1,42,,Adonis,85,true,,Foreigners,function: 0000029968006800,,,UI/Mercs/placeholder_character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,true,Commander,UnitData,25,80,95,Adonis,AdonisSquadLeader,UI/EnemiesPortraits/AdonisOfficer,20,,80,Elite,AdonisAssault,75,Male,Joey,0,7,true,90,2,0,75,Adonis,85,,,,,,true,,Overwatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,true,Commander,UnitData,50,80,95,Adonis,AdonisSquadLeader_Elite,UI/EnemiesPortraits/AdonisOfficer,20,,80,Elite,AdonisAssault,75,Male,Joey,52,7,true,90,2,48,,Adonis,85,true,,Foreigners,,,true,,Overwatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,true,Stormer,UnitData,25,50,95,Adonis,AdonisStormer,UI/EnemiesPortraits/AdonisStormer,20,function: 0000029970D76158,80,Elite,AdonisAssault,75,Male,Joey,0,7,true,90,2,0,75,Adonis,85,,,,function: 0000029970D76268,Brute,true,UI/Enemies/LegionRaider,Overwatch,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,true,Stormer,UnitData,47,50,95,Adonis,AdonisStormer_Elite,UI/EnemiesPortraits/AdonisStormer,20,function: 0000029970E7D0A8,80,Elite,AdonisAssault,75,Male,Joey,50,7,true,90,2,38,,Adonis,85,true,,Foreigners,function: 0000029970E7D1A8,Brute,true,,Overwatch,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,true,,UnitData,25,80,95,Adonis,CorazonGuard,UI/EnemiesPortraits/AdonisSoldier,20,,80,,,75,Male,Russell,0,,,90,2,0,,Adonis,85,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,true,Commander,UnitData,45,80,80,Army,ArmyCommander,UI/EnemiesPortraits/ArmyOfficer,73,,85,Elite,ArmySoldier,80,Male,Joey,54,5,true,82,2,57,,Army,63,,,,function: 0000029971330DA0,Skirmisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,true,Commander,UnitData,45,80,80,Army,ArmyCommanderFemale,UI/EnemiesPortraits/ArmyOfficer,73,,85,Elite,AnneLeMitrailleur,80,Female,Kendra,54,5,true,82,2,57,,Army,63,,,,function: 00000299713F8448,Skirmisher,,,,,,VillagerFemale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,true,Commander,UnitData,45,80,85,Army,ArmyCommander_Elite,UI/EnemiesPortraits/ArmyOfficer,73,,90,Elite,ArmySoldier,90,Male,Joey,54,8,true,89,2,57,,Army,63,,,,function: 00000299713A5758,Skirmisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,true,Demolitions,UnitData,0,50,43,Army,ArmyDemo,UI/EnemiesPortraits/ArmyDemo,14,,65,,ArmySoldier,30,Male,Russell,0,4,true,71,1,84,,Army,53,,,,,Skirmisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,true,Demolitions,UnitData,0,50,43,Army,ArmyDemo_Elite,UI/EnemiesPortraits/ArmyDemo,14,,94,,ArmySoldier,30,Male,Russell,0,6,true,84,1,91,,Army,53,,,,,Skirmisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,true,Heavy,UnitData,0,85,82,Army,ArmyHeavy,UI/EnemiesPortraits/ArmyHeavy,20,,62,Veteran,ArmySoldier,39,Male,Joey,0,5,true,72,2,0,,Army,90,,,,,HeavyGunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,true,Medic,UnitData,53,80,65,Army,ArmyMedic,UI/EnemiesPortraits/ArmyMedic,20,,51,Veteran,ArmySoldier,41,Male,Joey,12,5,true,75,1,5,,Army,42,,,,,Medic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,true,Artillery,UnitData,0,50,50,Army,ArmyMortar,UI/EnemiesPortraits/ArmyArtillery,10,function: 000002997154DAF8,45,,ArmySoldier,8,Male,Joey,0,4,true,75,1,,,Army,96,,,,function: 000002997154DAC8,Artillery,,UI/Enemies/LegionRaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,true,Artillery,UnitData,0,50,12,Army,ArmyRPG,UI/EnemiesPortraits/ArmyArtillery,10,,45,,ArmySoldier,8,Male,Joey,0,4,true,83,1,62,,Army,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,true,Recon,UnitData,0,50,70,Army,ArmyScout,UI/EnemiesPortraits/ArmyRecon,29,,55,,ArmySoldier,73,Male,Joey,0,3,true,90,2,0,,Army,48,,,,,Skirmisher,,,Overwatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,true,Marksman,UnitData,0,50,90,Army,ArmySniper,UI/EnemiesPortraits/ArmySniper,33,,40,,ArmySoldier,,Male,Joey,0,3,true,70,1,0,,Army,41,,,,,,true,,PinDown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,true,Marksman,UnitData,0,50,90,Army,ArmySniper_Elite,UI/EnemiesPortraits/ArmySniper,33,,76,,ArmySoldier,79,Male,Joey,0,7,true,86,1,0,,Army,41,,,,,,true,UI/Enemies/LegionRaider,PinDown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,true,Soldier,UnitData,0,50,70,Army,ArmySoldier,UI/EnemiesPortraits/ArmySoldier,10,,64,Elite,ArmySoldier,40,Male,Joey,0,4,true,77,2,0,,Army,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,true,Stormer,UnitData,0,100,34,Army,ArmyStormer,UI/EnemiesPortraits/ArmyStormer,65,function: 0000029971776428,75,,ArmySoldier,58,Male,Joey,0,5,true,70,2,33,,Army,95,,,,function: 0000029971776B08,Brute,,UI/Enemies/LegionRaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,true,Beast,UnitData,0,60,0,Beast,Beast_Crocodile,,9,,100,,,69,,,0,4,true,74,1,0,,Beasts,100,,,,,Beast_Crocodile,,,,,,,,Large animal,Crocodile,,,,,,,,,,,,,,,,,,,,,,,,,
64,true,Beast,UnitData,0,60,0,Beast,Beast_Crocodile_Grotto,,9,,100,,,69,,,0,5,true,74,1,0,,Beasts,100,,,,,Beast_Crocodile,,,,,,,,Large animal,Crocodile,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Beast,UnitData,0,60,0,Beast,Beast_Crocodile_test,,9,,100,,,69,,,0,,true,74,1,0,,Beasts,100,,,,,Beast_Crocodile,,,,,,,,Large animal,Crocodile,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,UnitData,0,60,8,Civilian,Beast_Hen,,9,,1,,,7,,,0,,,7,1,0,,Beasts,8,,,,,Beast_Hyena,,,,,,,,Small animal,Hen,,,,,,,,,,,,,,,,,,,,,,,,,
9,true,Beast,UnitData,0,60,82,Beast,Beast_Hyena,UI/EnemiesPortraits/Hyena,9,,32,,,73,,,0,,true,79,1,0,,Beasts,45,,,,,Beast_Hyena,,,,,,,,Small animal,Hyena,,,,,,,,,,,,,,,,,,,,,,,,,
90,true,Stormer,UnitData,0,60,8,Beast,Courage,UI/EnemiesPortraits/Hyena_Courage,9,,42,,,73,,,0,,true,79,1,0,,Beasts,45,,A11 Middle of Nowhere,,,Beast_Hyena,,,,,,,,Small animal,Hyena,,,,,,,,,,,,,,,,,,,,,,,,,
90,,Stormer,UnitData,0,60,8,Beast,Schliemann,,9,,1,,,73,,,0,,,79,1,0,,Beasts,45,,H7 Ruins Mine,,,Beast_Hyena,,,,,,,,Small animal,Hen,,,,,,,,,,,,,,,,,,,,,,,,,
9,true,Beast,UnitData,0,60,8,Beast,StrongHyena,UI/EnemiesPortraits/Hyena,9,,47,,,73,,,0,,true,79,1,0,,Beasts,65,,,,,Beast_Hyena,,,,,,,,Small animal,Hyena,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,UnitData,0,50,30,Civilian,DiamondRedMiner,UI/MercsPortraits/unknown,0,,13,,,30,Male,Matthew,0,,,28,1,0,,Civilians,30,,"Diamond Red - obsolete, use the generic Miner units and define proper appearance in the spawner",,,ActiveCivilian,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
2,true,Stormer,UnitData,0,50,0,Civilian,GrimerPotentiallyInfected_Female,UI/MercsPortraits/unknown,25,,45,,,25,Female,Kimberly,0,,true,,2,0,,Civilians,25,,,,,Brute,,,,100,,VillagerFemale,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
2,true,Stormer,UnitData,0,50,0,Civilian,GrimerPotentiallyInfected_Male,UI/MercsPortraits/unknown,25,,45,,,25,Male,Matthew,0,,true,,2,0,,Civilians,25,,,,,Brute,,,,100,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
35,,,UnitData,15,,85,,MilitiaElite,UI/EnemiesPortraits/MilitiaHeavy,10,,70,,MilitiaRookie,80,Male,,5,6,true,85,2,5,,Civilians,80,,,,,,,,,,,,,,,0,true,,,,,,,,,,,,,,,,,,,,,,,
35,,,UnitData,15,,75,,MilitiaRookie,UI/EnemiesPortraits/MilitiaStormer,10,,55,,MilitiaRookie,,Male,,5,2,true,70,1,5,,Civilians,70,,,,,,,,,,,,,,,0,true,,,,,,,,,,,,,,,,,,,,,,,
35,,,UnitData,15,,80,,MilitiaVeteran,UI/EnemiesPortraits/MilitiaSoldier,10,,,,MilitiaRookie,70,Male,,5,3,true,85,2,5,,Civilians,80,,,,,,,,,,,,,,,0,true,,,,,,,,,,,,,,,,,,,,,,,
30,,,UnitData,0,50,30,Civilian,Miner_1,UI/MercsPortraits/unknown,0,,13,,,30,Male,Matthew,0,,,28,1,0,,Civilians,30,,,,,ActiveCivilian,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
30,,,UnitData,0,50,30,Civilian,Miner_2,UI/MercsPortraits/unknown,0,,13,,,30,Male,Matthew,0,,,28,1,0,,Civilians,30,,,,,ActiveCivilian,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
30,true,Soldier,UnitData,0,50,50,Other,PrisonerInnocent,UI/EnemiesPortraits/ThugSoldier,20,,50,,ThugGunner,30,Male,Joey,0,,,28,2,0,,Civilians,50,,future slave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,true,Soldier,UnitData,0,50,69,Other,PrisonerJailBird,UI/EnemiesPortraits/ThugArtillery,15,,76,,ThugGunner,65,Male,Joey,0,,true,89,2,0,,Civilians,88,,tough criminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
